sample_id,sra_study,bioproject
SAMEA10316036,ERP115476,PRJEB32762
SAMEA10316050,ERP115476,PRJEB32762
SAMEA5661762,ERP115476,PRJEB32762
SAMEA10315096,ERP115476,PRJEB32762
SAMEA5858796,ERP115476,PRJEB32762
SAMEA10314580,ERP115476,PRJEB32762
SAMEA5661869,ERP115476,PRJEB32762
SAMEA5662252,ERP115476,PRJEB32762
SAMEA10314819,ERP115476,PRJEB32762
SAMEA5661998,ERP115476,PRJEB32762
SAMEA5662372,ERP115476,PRJEB32762
SAMEA5858765,ERP115476,PRJEB32762
SAMEA10315014,ERP115476,PRJEB32762
SAMEA5662143,ERP115476,PRJEB32762
SAMEA10313493,ERP115476,PRJEB32762
SAMEA10313489,ERP115476,PRJEB32762
SAMEA10315068,ERP115476,PRJEB32762
SAMEA5661576,ERP115476,PRJEB32762
SAMEA10313482,ERP115476,PRJEB32762
SAMEA10315953,ERP115476,PRJEB32762
SAMEA10314791,ERP115476,PRJEB32762
SAMEA5662473,ERP115476,PRJEB32762
SAMEA10314831,ERP115476,PRJEB32762
SAMEA10313982,ERP115476,PRJEB32762
SAMEA10314023,ERP115476,PRJEB32762
SAMEA10316018,ERP115476,PRJEB32762
SAMEA5661639,ERP115476,PRJEB32762
SAMEA5661720,ERP115476,PRJEB32762
SAMEA5858711,ERP115476,PRJEB32762
SAMEA10315102,ERP115476,PRJEB32762
SAMEA5661814,ERP115476,PRJEB32762
SAMEA5662363,ERP115476,PRJEB32762
SAMEA10313918,ERP115476,PRJEB32762
SAMEA10314308,ERP115476,PRJEB32762
SAMEA10315678,ERP115476,PRJEB32762
SAMEA5858696,ERP115476,PRJEB32762
SAMEA10313887,ERP115476,PRJEB32762
SAMEA10314224,ERP115476,PRJEB32762
SAMEA10313437,ERP115476,PRJEB32762
SAMEA10314687,ERP115476,PRJEB32762
SAMEA10314129,ERP115476,PRJEB32762
SAMEA5661580,ERP115476,PRJEB32762
SAMEA5661670,ERP115476,PRJEB32762
SAMEA5662348,ERP115476,PRJEB32762
SAMEA5661892,ERP115476,PRJEB32762
SAMEA10316042,ERP115476,PRJEB32762
SAMEA5662158,ERP115476,PRJEB32762
SAMEA5661636,ERP115476,PRJEB32762
SAMEA5858781,ERP115476,PRJEB32762
SAMEA10314917,ERP115476,PRJEB32762
SAMEA5662292,ERP115476,PRJEB32762
SAMEA5662057,ERP115476,PRJEB32762
SAMEA5662334,ERP115476,PRJEB32762
SAMEA10315654,ERP115476,PRJEB32762
SAMEA10315945,ERP115476,PRJEB32762
SAMEA5858666,ERP115476,PRJEB32762
SAMEA10314036,ERP115476,PRJEB32762
SAMEA5858775,ERP115476,PRJEB32762
SAMEA10313288,ERP115476,PRJEB32762
SAMEA10313851,ERP115476,PRJEB32762
SAMEA10313998,ERP115476,PRJEB32762
SAMEA10313684,ERP115476,PRJEB32762
SAMEA10316037,ERP115476,PRJEB32762
SAMEA10314013,ERP115476,PRJEB32762
SAMEA5661975,ERP115476,PRJEB32762
SAMEA10313745,ERP115476,PRJEB32762
SAMEA10315022,ERP115476,PRJEB32762
SAMEA5661625,ERP115476,PRJEB32762
SAMEA5662244,ERP115476,PRJEB32762
SAMEA5662231,ERP115476,PRJEB32762
SAMEA5661818,ERP115476,PRJEB32762
SAMEA5662255,ERP115476,PRJEB32762
SAMEA10314127,ERP115476,PRJEB32762
SAMEA10314926,ERP115476,PRJEB32762
SAMEA10313977,ERP115476,PRJEB32762
SAMEA5858674,ERP115476,PRJEB32762
SAMEA5662022,ERP115476,PRJEB32762
SAMEA5661981,ERP115476,PRJEB32762
SAMEA10313641,ERP115476,PRJEB32762
SAMEA10313340,ERP115476,PRJEB32762
SAMEA5662424,ERP115476,PRJEB32762
SAMEA10315844,ERP115476,PRJEB32762
SAMEA10315848,ERP115476,PRJEB32762
SAMEA10314209,ERP115476,PRJEB32762
SAMEA10316017,ERP115476,PRJEB32762
SAMEA5662115,ERP115476,PRJEB32762
SAMEA5858799,ERP115476,PRJEB32762
SAMEA5662034,ERP115476,PRJEB32762
SAMEA10314395,ERP115476,PRJEB32762
SAMEA10314686,ERP115476,PRJEB32762
SAMEA10313951,ERP115476,PRJEB32762
SAMEA10314240,ERP115476,PRJEB32762
SAMEA10313911,ERP115476,PRJEB32762
SAMEA10315025,ERP115476,PRJEB32762
SAMEA5858845,ERP115476,PRJEB32762
SAMEA5858766,ERP115476,PRJEB32762
SAMEA10313625,ERP115476,PRJEB32762
SAMEA10315996,ERP115476,PRJEB32762
SAMEA10314564,ERP115476,PRJEB32762
SAMEA10313686,ERP115476,PRJEB32762
SAMEA5662155,ERP115476,PRJEB32762
SAMEA5661675,ERP115476,PRJEB32762
SAMEA5661549,ERP115476,PRJEB32762
SAMEA10314292,ERP115476,PRJEB32762
SAMEA10314748,ERP115476,PRJEB32762
SAMEA10315913,ERP115476,PRJEB32762
SAMEA5858636,ERP115476,PRJEB32762
SAMEA5661681,ERP115476,PRJEB32762
SAMEA10315886,ERP115476,PRJEB32762
SAMEA10313263,ERP115476,PRJEB32762
SAMEA10313543,ERP115476,PRJEB32762
SAMEA5662080,ERP115476,PRJEB32762
SAMEA10315984,ERP115476,PRJEB32762
SAMEA5661708,ERP115476,PRJEB32762
SAMEA10314304,ERP115476,PRJEB32762
SAMEA10315694,ERP115476,PRJEB32762
SAMEA10315906,ERP115476,PRJEB32762
SAMEA5858612,ERP115476,PRJEB32762
SAMEA5662133,ERP115476,PRJEB32762
SAMEA5661760,ERP115476,PRJEB32762
SAMEA5662453,ERP115476,PRJEB32762
SAMEA10313362,ERP115476,PRJEB32762
SAMEA5661719,ERP115476,PRJEB32762
SAMEA5661968,ERP115476,PRJEB32762
SAMEA5661510,ERP115476,PRJEB32762
SAMEA5662514,ERP115476,PRJEB32762
SAMEA5661850,ERP115476,PRJEB32762
SAMEA10314750,ERP115476,PRJEB32762
SAMEA5661638,ERP115476,PRJEB32762
SAMEA10313646,ERP115476,PRJEB32762
SAMEA10314742,ERP115476,PRJEB32762
SAMEA10314980,ERP115476,PRJEB32762
SAMEA10314387,ERP115476,PRJEB32762
SAMEA10314029,ERP115476,PRJEB32762
SAMEA10313368,ERP115476,PRJEB32762
SAMEA10314766,ERP115476,PRJEB32762
SAMEA10313539,ERP115476,PRJEB32762
SAMEA10315948,ERP115476,PRJEB32762
SAMEA10315710,ERP115476,PRJEB32762
SAMEA10314579,ERP115476,PRJEB32762
SAMEA5662493,ERP115476,PRJEB32762
SAMEA5661770,ERP115476,PRJEB32762
SAMEA10315921,ERP115476,PRJEB32762
SAMEA10314022,ERP115476,PRJEB32762
SAMEA5661990,ERP115476,PRJEB32762
SAMEA5662299,ERP115476,PRJEB32762
SAMEA10313978,ERP115476,PRJEB32762
SAMEA5858653,ERP115476,PRJEB32762
SAMEA10315745,ERP115476,PRJEB32762
SAMEA5662257,ERP115476,PRJEB32762
SAMEA10313767,ERP115476,PRJEB32762
SAMEA5858872,ERP115476,PRJEB32762
SAMEA10313576,ERP115476,PRJEB32762
SAMEA10315624,ERP115476,PRJEB32762
SAMEA5661993,ERP115476,PRJEB32762
SAMEA5858614,ERP115476,PRJEB32762
SAMEA5662558,ERP115476,PRJEB32762
SAMEA5662191,ERP115476,PRJEB32762
SAMEA10313629,ERP115476,PRJEB32762
SAMEA10314294,ERP115476,PRJEB32762
SAMEA5662117,ERP115476,PRJEB32762
SAMEA10314576,ERP115476,PRJEB32762
SAMEA10315939,ERP115476,PRJEB32762
SAMEA5662088,ERP115476,PRJEB32762
SAMEA10314839,ERP115476,PRJEB32762
SAMEA10315620,ERP115476,PRJEB32762
SAMEA10313642,ERP115476,PRJEB32762
SAMEA10315881,ERP115476,PRJEB32762
SAMEA10314248,ERP115476,PRJEB32762
SAMEA5662352,ERP115476,PRJEB32762
SAMEA5662114,ERP115476,PRJEB32762
SAMEA5858761,ERP115476,PRJEB32762
SAMEA10315628,ERP115476,PRJEB32762
SAMEA10315703,ERP115476,PRJEB32762
SAMEA5661559,ERP115476,PRJEB32762
SAMEA10314293,ERP115476,PRJEB32762
SAMEA10314172,ERP115476,PRJEB32762
SAMEA10314664,ERP115476,PRJEB32762
SAMEA5662027,ERP115476,PRJEB32762
SAMEA5661641,ERP115476,PRJEB32762
SAMEA5661882,ERP115476,PRJEB32762
SAMEA5661649,ERP115476,PRJEB32762
SAMEA5858686,ERP115476,PRJEB32762
SAMEA10313315,ERP115476,PRJEB32762
SAMEA10314339,ERP115476,PRJEB32762
SAMEA5662449,ERP115476,PRJEB32762
SAMEA10314699,ERP115476,PRJEB32762
SAMEA10314698,ERP115476,PRJEB32762
SAMEA5662037,ERP115476,PRJEB32762
SAMEA10315099,ERP115476,PRJEB32762
SAMEA10315577,ERP115476,PRJEB32762
SAMEA10314715,ERP115476,PRJEB32762
SAMEA5661741,ERP115476,PRJEB32762
SAMEA5858833,ERP115476,PRJEB32762
SAMEA10315894,ERP115476,PRJEB32762
SAMEA5858778,ERP115476,PRJEB32762
SAMEA10313713,ERP115476,PRJEB32762
SAMEA10314144,ERP115476,PRJEB32762
SAMEA5662110,ERP115476,PRJEB32762
SAMEA5662490,ERP115476,PRJEB32762
SAMEA10313953,ERP115476,PRJEB32762
SAMEA10313518,ERP115476,PRJEB32762
SAMEA10314797,ERP115476,PRJEB32762
SAMEA5661821,ERP115476,PRJEB32762
SAMEA10313408,ERP115476,PRJEB32762
SAMEA5662097,ERP115476,PRJEB32762
SAMEA10313394,ERP115476,PRJEB32762
SAMEA5661570,ERP115476,PRJEB32762
SAMEA10315634,ERP115476,PRJEB32762
SAMEA10313506,ERP115476,PRJEB32762
SAMEA5662207,ERP115476,PRJEB32762
SAMEA10313471,ERP115476,PRJEB32762
SAMEA10315866,ERP115476,PRJEB32762
SAMEA10315647,ERP115476,PRJEB32762
SAMEA10315903,ERP115476,PRJEB32762
SAMEA10314933,ERP115476,PRJEB32762
SAMEA5662351,ERP115476,PRJEB32762
SAMEA10314652,ERP115476,PRJEB32762
SAMEA10313675,ERP115476,PRJEB32762
SAMEA10314377,ERP115476,PRJEB32762
SAMEA10314655,ERP115476,PRJEB32762
SAMEA10313666,ERP115476,PRJEB32762
SAMEA10315963,ERP115476,PRJEB32762
SAMEA5858693,ERP115476,PRJEB32762
SAMEA10314211,ERP115476,PRJEB32762
SAMEA5662326,ERP115476,PRJEB32762
SAMEA5858897,ERP115476,PRJEB32762
SAMEA10313470,ERP115476,PRJEB32762
SAMEA10315919,ERP115476,PRJEB32762
SAMEA10315992,ERP115476,PRJEB32762
SAMEA10314155,ERP115476,PRJEB32762
SAMEA10313831,ERP115476,PRJEB32762
SAMEA10313930,ERP115476,PRJEB32762
SAMEA10313614,ERP115476,PRJEB32762
SAMEA5858881,ERP115476,PRJEB32762
SAMEA10313685,ERP115476,PRJEB32762
SAMEA10313950,ERP115476,PRJEB32762
SAMEA10315990,ERP115476,PRJEB32762
SAMEA5662353,ERP115476,PRJEB32762
SAMEA10313289,ERP115476,PRJEB32762
SAMEA10314133,ERP115476,PRJEB32762
SAMEA5662423,ERP115476,PRJEB32762
SAMEA10314228,ERP115476,PRJEB32762
SAMEA10313312,ERP115476,PRJEB32762
SAMEA5858603,ERP115476,PRJEB32762
SAMEA5858792,ERP115476,PRJEB32762
SAMEA10314647,ERP115476,PRJEB32762
SAMEA10313874,ERP115476,PRJEB32762
SAMEA5661945,ERP115476,PRJEB32762
SAMEA10314783,ERP115476,PRJEB32762
SAMEA10314945,ERP115476,PRJEB32762
SAMEA10313530,ERP115476,PRJEB32762
SAMEA10314843,ERP115476,PRJEB32762
SAMEA5661515,ERP115476,PRJEB32762
SAMEA5662502,ERP115476,PRJEB32762
SAMEA10313949,ERP115476,PRJEB32762
SAMEA10315013,ERP115476,PRJEB32762
SAMEA10315895,ERP115476,PRJEB32762
SAMEA5661880,ERP115476,PRJEB32762
SAMEA10314340,ERP115476,PRJEB32762
SAMEA10313370,ERP115476,PRJEB32762
SAMEA5662500,ERP115476,PRJEB32762
SAMEA5661591,ERP115476,PRJEB32762
SAMEA10314964,ERP115476,PRJEB32762
SAMEA10313727,ERP115476,PRJEB32762
SAMEA10313279,ERP115476,PRJEB32762
SAMEA10314645,ERP115476,PRJEB32762
SAMEA10314979,ERP115476,PRJEB32762
SAMEA10315971,ERP115476,PRJEB32762
SAMEA10313764,ERP115476,PRJEB32762
SAMEA10315659,ERP115476,PRJEB32762
SAMEA10314735,ERP115476,PRJEB32762
SAMEA5661871,ERP115476,PRJEB32762
SAMEA10313527,ERP115476,PRJEB32762
SAMEA10315088,ERP115476,PRJEB32762
SAMEA10315070,ERP115476,PRJEB32762
SAMEA5662475,ERP115476,PRJEB32762
SAMEA5661582,ERP115476,PRJEB32762
SAMEA5858878,ERP115476,PRJEB32762
SAMEA5662429,ERP115476,PRJEB32762
SAMEA10315986,ERP115476,PRJEB32762
SAMEA10314035,ERP115476,PRJEB32762
SAMEA10313893,ERP115476,PRJEB32762
SAMEA10314183,ERP115476,PRJEB32762
SAMEA5661551,ERP115476,PRJEB32762
SAMEA5662324,ERP115476,PRJEB32762
SAMEA5858698,ERP115476,PRJEB32762
SAMEA5662077,ERP115476,PRJEB32762
SAMEA10315980,ERP115476,PRJEB32762
SAMEA5661562,ERP115476,PRJEB32762
SAMEA5858850,ERP115476,PRJEB32762
SAMEA10314977,ERP115476,PRJEB32762
SAMEA10314544,ERP115476,PRJEB32762
SAMEA5661772,ERP115476,PRJEB32762
SAMEA5662200,ERP115476,PRJEB32762
SAMEA10314885,ERP115476,PRJEB32762
SAMEA5858708,ERP115476,PRJEB32762
SAMEA10314159,ERP115476,PRJEB32762
SAMEA10315845,ERP115476,PRJEB32762
SAMEA5662406,ERP115476,PRJEB32762
SAMEA5661824,ERP115476,PRJEB32762
SAMEA10313455,ERP115476,PRJEB32762
SAMEA10314194,ERP115476,PRJEB32762
SAMEA5858793,ERP115476,PRJEB32762
SAMEA5662528,ERP115476,PRJEB32762
SAMEA5662464,ERP115476,PRJEB32762
SAMEA5662000,ERP115476,PRJEB32762
SAMEA10315053,ERP115476,PRJEB32762
SAMEA5858787,ERP115476,PRJEB32762
SAMEA10315765,ERP115476,PRJEB32762
SAMEA10314833,ERP115476,PRJEB32762
SAMEA5661841,ERP115476,PRJEB32762
SAMEA5661714,ERP115476,PRJEB32762
SAMEA5662466,ERP115476,PRJEB32762
SAMEA5858839,ERP115476,PRJEB32762
SAMEA5858714,ERP115476,PRJEB32762
SAMEA10314287,ERP115476,PRJEB32762
SAMEA10314721,ERP115476,PRJEB32762
SAMEA10315850,ERP115476,PRJEB32762
SAMEA5662120,ERP115476,PRJEB32762
SAMEA5661911,ERP115476,PRJEB32762
SAMEA10315827,ERP115476,PRJEB32762
SAMEA10315890,ERP115476,PRJEB32762
SAMEA10313734,ERP115476,PRJEB32762
SAMEA10314243,ERP115476,PRJEB32762
SAMEA5662392,ERP115476,PRJEB32762
SAMEA10313352,ERP115476,PRJEB32762
SAMEA10315897,ERP115476,PRJEB32762
SAMEA10313302,ERP115476,PRJEB32762
SAMEA5662021,ERP115476,PRJEB32762
SAMEA10314380,ERP115476,PRJEB32762
SAMEA10315958,ERP115476,PRJEB32762
SAMEA10314085,ERP115476,PRJEB32762
SAMEA5662134,ERP115476,PRJEB32762
SAMEA5662495,ERP115476,PRJEB32762
SAMEA10313481,ERP115476,PRJEB32762
SAMEA5662059,ERP115476,PRJEB32762
SAMEA10316041,ERP115476,PRJEB32762
SAMEA10314164,ERP115476,PRJEB32762
SAMEA10313822,ERP115476,PRJEB32762
SAMEA10313465,ERP115476,PRJEB32762
SAMEA10313586,ERP115476,PRJEB32762
SAMEA10314682,ERP115476,PRJEB32762
SAMEA5662274,ERP115476,PRJEB32762
SAMEA10314220,ERP115476,PRJEB32762
SAMEA10313264,ERP115476,PRJEB32762
SAMEA5662515,ERP115476,PRJEB32762
SAMEA10315027,ERP115476,PRJEB32762
SAMEA10315680,ERP115476,PRJEB32762
SAMEA10314790,ERP115476,PRJEB32762
SAMEA10315898,ERP115476,PRJEB32762
SAMEA10313345,ERP115476,PRJEB32762
SAMEA5662457,ERP115476,PRJEB32762
SAMEA10313643,ERP115476,PRJEB32762
SAMEA10314741,ERP115476,PRJEB32762
SAMEA5661676,ERP115476,PRJEB32762
SAMEA5858651,ERP115476,PRJEB32762
SAMEA5662539,ERP115476,PRJEB32762
SAMEA5662444,ERP115476,PRJEB32762
SAMEA10313542,ERP115476,PRJEB32762
SAMEA10313972,ERP115476,PRJEB32762
SAMEA5858753,ERP115476,PRJEB32762
SAMEA10314396,ERP115476,PRJEB32762
SAMEA10315857,ERP115476,PRJEB32762
SAMEA10314055,ERP115476,PRJEB32762
SAMEA10313694,ERP115476,PRJEB32762
SAMEA10314934,ERP115476,PRJEB32762
SAMEA5858729,ERP115476,PRJEB32762
SAMEA10315074,ERP115476,PRJEB32762
SAMEA10314876,ERP115476,PRJEB32762
SAMEA10314142,ERP115476,PRJEB32762
SAMEA10313714,ERP115476,PRJEB32762
SAMEA5858848,ERP115476,PRJEB32762
SAMEA5858622,ERP115476,PRJEB32762
SAMEA10313821,ERP115476,PRJEB32762
SAMEA10314958,ERP115476,PRJEB32762
SAMEA10314961,ERP115476,PRJEB32762
SAMEA5662149,ERP115476,PRJEB32762
SAMEA5662396,ERP115476,PRJEB32762
SAMEA10314188,ERP115476,PRJEB32762
SAMEA5661827,ERP115476,PRJEB32762
SAMEA5858805,ERP115476,PRJEB32762
SAMEA10315755,ERP115476,PRJEB32762
SAMEA10315582,ERP115476,PRJEB32762
SAMEA5858707,ERP115476,PRJEB32762
SAMEA10315579,ERP115476,PRJEB32762
SAMEA5662461,ERP115476,PRJEB32762
SAMEA10313914,ERP115476,PRJEB32762
SAMEA5661524,ERP115476,PRJEB32762
SAMEA10315077,ERP115476,PRJEB32762
SAMEA5661960,ERP115476,PRJEB32762
SAMEA5661813,ERP115476,PRJEB32762
SAMEA10313782,ERP115476,PRJEB32762
SAMEA5662434,ERP115476,PRJEB32762
SAMEA5858607,ERP115476,PRJEB32762
SAMEA10313567,ERP115476,PRJEB32762
SAMEA10314206,ERP115476,PRJEB32762
SAMEA5662350,ERP115476,PRJEB32762
SAMEA10313948,ERP115476,PRJEB32762
SAMEA5661611,ERP115476,PRJEB32762
SAMEA10313277,ERP115476,PRJEB32762
SAMEA10316043,ERP115476,PRJEB32762
SAMEA5661703,ERP115476,PRJEB32762
SAMEA10315591,ERP115476,PRJEB32762
SAMEA10313952,ERP115476,PRJEB32762
SAMEA10313622,ERP115476,PRJEB32762
SAMEA5661650,ERP115476,PRJEB32762
SAMEA10313945,ERP115476,PRJEB32762
SAMEA10315795,ERP115476,PRJEB32762
SAMEA5662256,ERP115476,PRJEB32762
SAMEA10315670,ERP115476,PRJEB32762
SAMEA5662092,ERP115476,PRJEB32762
SAMEA10313364,ERP115476,PRJEB32762
SAMEA10315594,ERP115476,PRJEB32762
SAMEA10313536,ERP115476,PRJEB32762
SAMEA10314918,ERP115476,PRJEB32762
SAMEA10313753,ERP115476,PRJEB32762
SAMEA10313623,ERP115476,PRJEB32762
SAMEA10314607,ERP115476,PRJEB32762
SAMEA10313572,ERP115476,PRJEB32762
SAMEA10315623,ERP115476,PRJEB32762
SAMEA10314371,ERP115476,PRJEB32762
SAMEA5661964,ERP115476,PRJEB32762
SAMEA5662171,ERP115476,PRJEB32762
SAMEA10314966,ERP115476,PRJEB32762
SAMEA5661547,ERP115476,PRJEB32762
SAMEA10314946,ERP115476,PRJEB32762
SAMEA10314125,ERP115476,PRJEB32762
SAMEA5661534,ERP115476,PRJEB32762
SAMEA5661985,ERP115476,PRJEB32762
SAMEA5661829,ERP115476,PRJEB32762
SAMEA10313366,ERP115476,PRJEB32762
SAMEA5858831,ERP115476,PRJEB32762
SAMEA10313335,ERP115476,PRJEB32762
SAMEA10315604,ERP115476,PRJEB32762
SAMEA5661839,ERP115476,PRJEB32762
SAMEA10313308,ERP115476,PRJEB32762
SAMEA10313919,ERP115476,PRJEB32762
SAMEA10315811,ERP115476,PRJEB32762
SAMEA10314974,ERP115476,PRJEB32762
SAMEA5661804,ERP115476,PRJEB32762
SAMEA10315860,ERP115476,PRJEB32762
SAMEA5858661,ERP115476,PRJEB32762
SAMEA5662430,ERP115476,PRJEB32762
SAMEA10314253,ERP115476,PRJEB32762
SAMEA5662290,ERP115476,PRJEB32762
SAMEA10315961,ERP115476,PRJEB32762
SAMEA10315763,ERP115476,PRJEB32762
SAMEA10313913,ERP115476,PRJEB32762
SAMEA5858709,ERP115476,PRJEB32762
SAMEA5661673,ERP115476,PRJEB32762
SAMEA10313348,ERP115476,PRJEB32762
SAMEA5662367,ERP115476,PRJEB32762
SAMEA5662287,ERP115476,PRJEB32762
SAMEA10314047,ERP115476,PRJEB32762
SAMEA5661757,ERP115476,PRJEB32762
SAMEA10314705,ERP115476,PRJEB32762
SAMEA10314973,ERP115476,PRJEB32762
SAMEA5858896,ERP115476,PRJEB32762
SAMEA5662479,ERP115476,PRJEB32762
SAMEA5662318,ERP115476,PRJEB32762
SAMEA5858658,ERP115476,PRJEB32762
SAMEA10313266,ERP115476,PRJEB32762
SAMEA10313992,ERP115476,PRJEB32762
SAMEA5662261,ERP115476,PRJEB32762
SAMEA5662192,ERP115476,PRJEB32762
SAMEA10314054,ERP115476,PRJEB32762
SAMEA5661545,ERP115476,PRJEB32762
SAMEA5662338,ERP115476,PRJEB32762
SAMEA5858807,ERP115476,PRJEB32762
SAMEA10314364,ERP115476,PRJEB32762
SAMEA10313374,ERP115476,PRJEB32762
SAMEA5662089,ERP115476,PRJEB32762
SAMEA5661597,ERP115476,PRJEB32762
SAMEA10314778,ERP115476,PRJEB32762
SAMEA10313300,ERP115476,PRJEB32762
SAMEA5858652,ERP115476,PRJEB32762
SAMEA10315584,ERP115476,PRJEB32762
SAMEA5661843,ERP115476,PRJEB32762
SAMEA10315700,ERP115476,PRJEB32762
SAMEA10314827,ERP115476,PRJEB32762
SAMEA10313971,ERP115476,PRJEB32762
SAMEA5661704,ERP115476,PRJEB32762
SAMEA10313673,ERP115476,PRJEB32762
SAMEA5662164,ERP115476,PRJEB32762
SAMEA10315930,ERP115476,PRJEB32762
SAMEA5662038,ERP115476,PRJEB32762
SAMEA5662470,ERP115476,PRJEB32762
SAMEA10314965,ERP115476,PRJEB32762
SAMEA5661517,ERP115476,PRJEB32762
SAMEA5858887,ERP115476,PRJEB32762
SAMEA5858874,ERP115476,PRJEB32762
SAMEA10314208,ERP115476,PRJEB32762
SAMEA10314376,ERP115476,PRJEB32762
SAMEA5662440,ERP115476,PRJEB32762
SAMEA5661729,ERP115476,PRJEB32762
SAMEA10313997,ERP115476,PRJEB32762
SAMEA10313937,ERP115476,PRJEB32762
SAMEA10313679,ERP115476,PRJEB32762
SAMEA10314179,ERP115476,PRJEB32762
SAMEA5661705,ERP115476,PRJEB32762
SAMEA10313253,ERP115476,PRJEB32762
SAMEA10313571,ERP115476,PRJEB32762
SAMEA10313873,ERP115476,PRJEB32762
SAMEA10315075,ERP115476,PRJEB32762
SAMEA10313547,ERP115476,PRJEB32762
SAMEA10314845,ERP115476,PRJEB32762
SAMEA10315062,ERP115476,PRJEB32762
SAMEA5661544,ERP115476,PRJEB32762
SAMEA5661667,ERP115476,PRJEB32762
SAMEA5661835,ERP115476,PRJEB32762
SAMEA10313406,ERP115476,PRJEB32762
SAMEA10315665,ERP115476,PRJEB32762
SAMEA10313624,ERP115476,PRJEB32762
SAMEA5662296,ERP115476,PRJEB32762
SAMEA10314184,ERP115476,PRJEB32762
SAMEA10315841,ERP115476,PRJEB32762
SAMEA5662233,ERP115476,PRJEB32762
SAMEA5662332,ERP115476,PRJEB32762
SAMEA10314318,ERP115476,PRJEB32762
SAMEA10314283,ERP115476,PRJEB32762
SAMEA5858641,ERP115476,PRJEB32762
SAMEA10315932,ERP115476,PRJEB32762
SAMEA10315674,ERP115476,PRJEB32762
SAMEA5661994,ERP115476,PRJEB32762
SAMEA5858717,ERP115476,PRJEB32762
SAMEA10313654,ERP115476,PRJEB32762
SAMEA10313996,ERP115476,PRJEB32762
SAMEA10314241,ERP115476,PRJEB32762
SAMEA5858777,ERP115476,PRJEB32762
SAMEA10313334,ERP115476,PRJEB32762
SAMEA10314217,ERP115476,PRJEB32762
SAMEA10313423,ERP115476,PRJEB32762
SAMEA10315065,ERP115476,PRJEB32762
SAMEA10314219,ERP115476,PRJEB32762
SAMEA5662176,ERP115476,PRJEB32762
SAMEA10313635,ERP115476,PRJEB32762
SAMEA10314078,ERP115476,PRJEB32762
SAMEA10314894,ERP115476,PRJEB32762
SAMEA10313459,ERP115476,PRJEB32762
SAMEA10313722,ERP115476,PRJEB32762
SAMEA5662484,ERP115476,PRJEB32762
SAMEA5661520,ERP115476,PRJEB32762
SAMEA5661819,ERP115476,PRJEB32762
SAMEA5662491,ERP115476,PRJEB32762
SAMEA5661949,ERP115476,PRJEB32762
SAMEA5661959,ERP115476,PRJEB32762
SAMEA10314026,ERP115476,PRJEB32762
SAMEA10313705,ERP115476,PRJEB32762
SAMEA10315854,ERP115476,PRJEB32762
SAMEA5662310,ERP115476,PRJEB32762
SAMEA5661933,ERP115476,PRJEB32762
SAMEA5661588,ERP115476,PRJEB32762
SAMEA10313967,ERP115476,PRJEB32762
SAMEA10313842,ERP115476,PRJEB32762
SAMEA10313359,ERP115476,PRJEB32762
SAMEA5661798,ERP115476,PRJEB32762
SAMEA10313422,ERP115476,PRJEB32762
SAMEA10313780,ERP115476,PRJEB32762
SAMEA10314969,ERP115476,PRJEB32762
SAMEA10314234,ERP115476,PRJEB32762
SAMEA5858894,ERP115476,PRJEB32762
SAMEA10313677,ERP115476,PRJEB32762
SAMEA5661609,ERP115476,PRJEB32762
SAMEA10315581,ERP115476,PRJEB32762
SAMEA5661866,ERP115476,PRJEB32762
SAMEA5662138,ERP115476,PRJEB32762
SAMEA10314940,ERP115476,PRJEB32762
SAMEA10315047,ERP115476,PRJEB32762
SAMEA5662165,ERP115476,PRJEB32762
SAMEA5661970,ERP115476,PRJEB32762
SAMEA5858847,ERP115476,PRJEB32762
SAMEA10315815,ERP115476,PRJEB32762
SAMEA5661955,ERP115476,PRJEB32762
SAMEA10314956,ERP115476,PRJEB32762
SAMEA5662375,ERP115476,PRJEB32762
SAMEA5662229,ERP115476,PRJEB32762
SAMEA10315721,ERP115476,PRJEB32762
SAMEA10313421,ERP115476,PRJEB32762
SAMEA10313823,ERP115476,PRJEB32762
SAMEA10313515,ERP115476,PRJEB32762
SAMEA10313389,ERP115476,PRJEB32762
SAMEA10313303,ERP115476,PRJEB32762
SAMEA5661730,ERP115476,PRJEB32762
SAMEA5662360,ERP115476,PRJEB32762
SAMEA5661731,ERP115476,PRJEB32762
SAMEA5661607,ERP115476,PRJEB32762
SAMEA5661893,ERP115476,PRJEB32762
SAMEA5661564,ERP115476,PRJEB32762
SAMEA5661723,ERP115476,PRJEB32762
SAMEA5661862,ERP115476,PRJEB32762
SAMEA10314212,ERP115476,PRJEB32762
SAMEA10314692,ERP115476,PRJEB32762
SAMEA10313590,ERP115476,PRJEB32762
SAMEA5661574,ERP115476,PRJEB32762
SAMEA5662241,ERP115476,PRJEB32762
SAMEA10314082,ERP115476,PRJEB32762
SAMEA5661917,ERP115476,PRJEB32762
SAMEA10315592,ERP115476,PRJEB32762
SAMEA5661543,ERP115476,PRJEB32762
SAMEA5858742,ERP115476,PRJEB32762
SAMEA10314365,ERP115476,PRJEB32762
SAMEA10313770,ERP115476,PRJEB32762
SAMEA5662091,ERP115476,PRJEB32762
SAMEA10314341,ERP115476,PRJEB32762
SAMEA5661934,ERP115476,PRJEB32762
SAMEA10314314,ERP115476,PRJEB32762
SAMEA10314041,ERP115476,PRJEB32762
