study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	host_species	host_species_ontology_term_id	body_site	body_site_ontology_term_id	control	control_ontology_term_id	age	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	curator	sequencing_platform	pmid	country	location	westernized	ncbi_accession
SampsonTR_2025	hSCATG058AM3_3MTH_04072020	hSCATG058AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13403	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674744
SampsonTR_2025	hSCATG058AM3_1MTH_01172020	hSCATG058AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13404	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674745
SampsonTR_2025	hSCATG026AM2_12MTH_06112020	hSCATG026AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13405	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674746
SampsonTR_2025	hSCATG025AM4_6MTH_12162019	hSCATG025AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13406	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674747
SampsonTR_2025	hSCATG025AM4_3MTH_09162019	hSCATG025AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13407	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674748
SampsonTR_2025	hSCATG025AM2_3MTH_09162019	hSCATG025AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13408	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674752
SampsonTR_2025	hSCATG018AM1_1MTH_07012019	hSCATG018AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13409	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674753
SampsonTR_2025	hSCATG023AM2_1MTH_07152019	hSCATG023AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13410	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674754
SampsonTR_2025	hSCATG023AM2_12MTH_06112020	hSCATG023AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13411	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674755
SampsonTR_2025	hSCATG018AM1_12MTH_06042020	hSCATG018AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13412	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674756
SampsonTR_2025	hSCATG022AM2_6MTH_12032019	hSCATG022AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13413	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674757
SampsonTR_2025	hSCATG022AM2_1MTH_07052019	hSCATG022AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13414	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674759
SampsonTR_2025	hSCATG022AM2_12MTH_06112020	hSCATG022AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13415	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674760
SampsonTR_2025	hSCATG016AM3_6MTH_12032019	hSCATG016AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13416	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674767
SampsonTR_2025	hSCATG021AM4_1MTH_07052019	hSCATG021AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13417	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674768
SampsonTR_2025	hSCATG021AM2_3MTH_09032019	hSCATG021AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13418	Case	NCIT:C49152	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674775
SampsonTR_2025	hSCATG058AM5_6MTH_06142020	hSCATG058AM5	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13419	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674776
SampsonTR_2025	hSCATG058AM5_3MTH_04072020	hSCATG058AM5	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13420	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674777
SampsonTR_2025	hSCATG058AM2_1MTH_01172020	hSCATG058AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13421	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674791
SampsonTR_2025	hSCATG058AM2_12MTH_12122020	hSCATG058AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13422	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674792
SampsonTR_2025	hSCATG021AM2_12MTH_06042020	hSCATG021AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13423	Case	NCIT:C49152	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674793
SampsonTR_2025	hSCATG021AM1_3MTH_09032019	hSCATG021AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13424	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674800
SampsonTR_2025	hSCATG041AM3_12MTH_07082020	hSCATG041AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13425	Case	NCIT:C49152	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674805
SampsonTR_2025	hSCATG040AM5_12MTH_07082020	hSCATG040AM5	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13426	Case	NCIT:C49152	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674810
